t_ms,target,cps,band_lo,band_hi
36600,600.0,600.0,0.0,0.0
36700,600.0,596.82,0.0,0.0
36800,600.0,595.83,0.0,0.0
36900,600.0,604.32,0.0,0.0
37000,600.0,600.0,0.0,0.0
37100,600.0,607.05,0.0,0.0
37200,600.0,600.0,0.0,0.0
37300,600.0,589.32,0.0,0.0
37400,600.0,602.5,0.0,0.0
37500,600.0,605.0,0.0,0.0
37600,600.0,594.55,0.0,0.0
37700,600.0,602.5,0.0,0.0
37800,600.0,604.32,0.0,0.0
37900,600.0,595.0,0.0,0.0
38000,600.0,600.0,0.0,0.0
38100,600.0,604.32,0.0,0.0
38200,600.0,595.0,0.0,0.0
38300,600.0,602.05,0.0,0.0
38400,600.0,605.96,0.0,0.0
38500,600.0,592.5,0.0,0.0
38600,600.0,600.0,0.0,0.0
38700,600.0,604.77,0.0,0.0
38800,600.0,595.0,0.0,0.0
38900,600.0,602.5,0.0,0.0
39000,600.0,604.55,0.0,0.0
39100,600.0,592.5,0.0,0.0
39200,600.0,601.82,0.0,0.0
39300,600.0,600.0,0.0,0.0
39400,600.0,607.5,0.0,0.0
39500,600.0,599.55,0.0,0.0
39600,600.0,590.0,0.0,0.0
39700,600.0,602.05,0.0,0.0
39800,600.0,605.0,0.0,0.0
39900,600.0,592.5,0.0,0.0
40000,600.0,601.82,0.0,0.0
40100,600.0,605.0,0.0,0.0
40200,600.0,594.32,0.0,0.0
40300,600.0,602.5,0.0,0.0
40400,600.0,605.0,0.0,0.0
40500,600.0,594.55,0.0,0.0
40600,600.0,601.82,0.0,0.0
40700,600.0,597.5,0.0,0.0
40800,600.0,595.0,0.0,0.0
40900,600.0,604.32,0.0,0.0
41000,600.0,607.5,0.0,0.0
41100,600.0,594.55,0.0,0.0
41200,600.0,600.0,0.0,0.0
41300,600.0,605.0,0.0,0.0
41400,600.0,594.55,0.0,0.0
41500,300.0,600.0,0.0,0.0
41600,300.0,572.27,0.0,0.0
41700,300.0,517.5,0.0,0.0
41800,300.0,485.0,0.0,0.0
41900,300.0,455.68,0.0,0.0
42000,300.0,437.5,0.0,0.0
42100,300.0,416.14,0.0,0.0
42200,300.0,392.31,0.0,0.0
42300,300.0,372.5,0.0,0.0
42400,300.0,365.0,0.0,0.0
42500,300.0,354.32,0.0,0.0
42600,300.0,340.0,0.0,0.0
42700,300.0,332.5,0.0,0.0
42800,300.0,322.05,0.0,0.0
42900,300.0,327.5,0.0,0.0
43000,300.0,319.55,0.0,0.0
43100,300.0,315.0,0.0,0.0
43200,300.0,312.5,0.0,0.0
43300,300.0,317.5,0.0,0.0
43400,300.0,304.55,0.0,0.0
43500,300.0,304.77,0.0,0.0
43600,300.0,305.0,0.0,0.0
43700,300.0,300.0,0.0,0.0
43800,300.0,305.0,0.0,0.0
43900,300.0,304.77,0.0,0.0
44000,300.0,302.27,0.0,0.0
44100,300.0,305.0,0.0,0.0
